2025-09-21T15:50:19,092 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2720c366 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=a45f8c1e-4e49-494c-8fea-92fff5120641
2025-09-21T15:50:19,093 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2720c366 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=a45f8c1e-4e49-494c-8fea-92fff5120641
2025-09-21T15:50:19,094 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2720c366 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=a45f8c1e-4e49-494c-8fea-92fff5120641
2025-09-21T15:50:19,095 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2720c366 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=a45f8c1e-4e49-494c-8fea-92fff5120641
2025-09-21T15:50:19,096 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2720c366 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=a45f8c1e-4e49-494c-8fea-92fff5120641
2025-09-21T15:50:19,097 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.package.core/4.4.3
2025-09-21T15:50:19,115 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.package.core/4.4.3
2025-09-21T15:50:19,115 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.diagnostic.core/4.4.3
2025-09-21T15:50:19,125 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.4.3
2025-09-21T15:50:19,126 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.bundle.core/4.4.3
